వదంతులతో	గుండె	ఆగి
భూములు	తీసుకోవద్దు	హైకోర్టు
ప్రవేశపెట్టే	తేదీపై	అభ్యంతరాలు
సమాధానం	చెప్పలేక	ప్రభుత్వం
ఎంసెట్	రద్దు	చేసే
రద్దు	చేసే	యోచనలో
సీఎం	చేసిన	దూషణలు
చేసిన	దూషణలు	సిగ్గు
ప్రాథమిక	సభ్యత్వం	లేదు
ఆరోపణలు	తప్పని	నిరూపిస్తే
తప్పని	నిరూపిస్తే	రాజకీయ
నిరూపిస్తే	రాజకీయ	సన్యాసం
రాజకీయ	సన్యాసం	కాకాని
విద్యుత్	తీగలు	తగిలి
తీగలు	తగిలి	వ్యక్తి
తగిలి	వ్యక్తి	మృతి
మాంజాను	నిషేధించిన	తెలంగాణ
నిషేధించిన	తెలంగాణ	ప్రభుత్వం
శరీరం	చచ్చుబడిన	బాలుడికి
బాలుడికి	పూడ్చుడు	వైద్యం
మాజీ	చీఫ్కు	ఛాతినొప్పి
ప్రజా	విఫ్లవం	వస్తుంది
విఫ్లవం	వస్తుంది	లాలూ
ప్రశ్నల	వర్షం	ఎదుర్కొనున్న
వర్షం	ఎదుర్కొనున్న	ఉర్జిత్
ఎదుర్కొనున్న	ఉర్జిత్	పటేల్
సెల్వంకు	చెక్	పడనుందా
ఉరి	శిక్ష	పడింది
ఉరిపై	గురిపెట్టిన	ఎంపీ
గురిపెట్టిన	ఎంపీ	అసదుద్దీన్
ఈడీ	జప్తు	చేసినా
జప్తు	చేసినా	జగన్
జగన్	తీరు	మారలేదు
తీరు	మారలేదు	బాబు
అధ్యక్షుడిని	జైల్లో	పెట్టవచ్చు
జైల్లో	పెట్టవచ్చు	అమికస్
పర్యావరణ	చట్టాన్ని	ఉల్లంఘించిన
చట్టాన్ని	ఉల్లంఘించిన	కపిల్
ఉల్లంఘించిన	కపిల్	శర్మ
షాపులు	మూసేయాల్సిందే	సుప్రీం
మణిపూర్లో	రెచ్చిపోయిన	ఉగ్రవాదులు
జోక్	పార్లమెంట్కు	వర్తిస్తుంది
చర్చించే	దమ్ము	ప్రధానికి
దమ్ము	ప్రధానికి	లేదు
వర్షాలతో	తడిసిన	వరి
తడిసిన	వరి	పంట
పట్టించుకోని	భద్రతా	సిబ్బంది
నటికి	పారితోషికమే	ఇవ్వరు
పోలీసులతో	ఘర్షణకు	దిగిన
ఘర్షణకు	దిగిన	క్రికెటర్
కిడ్నీ	దోచుకున్నారని	మూడేళ్లకు
స్వల్ప	నష్టాలతో	ముగిసిన
నష్టాలతో	ముగిసిన	సూచీలు
ఆస్పత్రిలోనే	బిడ్డల్ని	మార్చేశారు
సెల్	ఫోన్లు	దొంగిలించే
ఫోన్లు	దొంగిలించే	ముఠా
ఫైటింగులు	చేయాల్సి	వచ్చింది
మోటార్స్	ప్లాంట్	మూసివేత
జూదంను	చట్టబద్ధం	చేస్తారా
సాక్షి	ఆరోపణలను	ఖండించిన
రిటైర్	కానున్న	విరాట్
వరుణ్	సీక్రెట్	బయటపెట్టిన
జడేజా	వలలో	పడిన
వలలో	పడిన	ఆసీస్
రెడ్	సిగ్నల్	దాటిన
సిగ్నల్	దాటిన	గూడ్స్
చర్య	ప్రజాపతి	అరెస్టే
శాతం	పెంచిన	కేంద్రం
సమయం	దాటితే	పట్టా
దాటితే	పట్టా	కష్టమే
తార్నాకలో	భగ్గుమన్న	స్కార్పియో
వికెట్లు	కోల్పోతున్న	ఆసీస్
మైదానంలో	వాగ్వాదానికి	దిగిన
వాగ్వాదానికి	దిగిన	విరాట్
రాయ్	కి	ప్రమాదం
కేసు	నమోదు	చేయాలి
గేటు	విరగొట్టి	పాఠశాలలోకి
విరగొట్టి	పాఠశాలలోకి	ఏనుగులు
జడ్డూ	మాయలో	పడ్డ
మాయలో	పడ్డ	స్మిత్
యజమానులు	లేని	దుకాణాలు
చర్చనీయాంశమవుతున్న	వాట్సాప్	తలాక్
నాడు	సెలవు	ఇవ్వాలి
ఒబామా	ట్యాప్	చేశారు
ప్రయత్నిస్తే	జేబులకు	చిల్లు
జాతీయ	రికార్డు	చెల్లదు
శీఘ్ర	సేవలు	నిలిపివేత
తల్లీబిడ్డలను	వేరు	చేసే
పెరిగిన	భక్తుల	రద్దీ
వ్యాఖ్యలను	ఖండించిన	కనిమొళి
నవాబ్	తీరే	వేరు
ఆగని	మరణ	మృదంగం
అంశానికి	ప్రాధాన్యం	లేదు
సినిమాలు	పాడు	చేస్తున్నాయి
ఐటీ	కన్ను	పడినట్లే
బెంగళూరులో	ఎదుర్కోవడం	కష్టమే
జన్మనిచ్చిన	తల్లి	కన్నుమూత
ప్రాణాలు	వదిలిన	డ్రైవర్
ఉద్యోగం	వదిలేస్తాం	సాయం
లాలూ	నేరగాడు	కాడా
సహోద్యోగిని	పెళ్లి	చెడగొట్టి
పెళ్లి	చెడగొట్టి	కటకటాలపాలు
జయను	తోసేసినట్లు	డిశ్చార్జి
తోసేసినట్లు	డిశ్చార్జి	నివేదికలో
అర్హత	తేలాకే	భర్తీ
కోహ్లీ	సమయం	ఆసన్నమైంది
జగన్	తీరును	ఖండించిన
తీరును	ఖండించిన	మంత్రివర్గం
లారీతో	గుద్దిచంపిన	డ్రైవర్
వ్యవహారాలను	తనిఖీ	చేయాలి
రిజిష్టర్లు	తనిఖీ	చేసి
తనిఖీ	చేసి	వ్యవహారాల
సిబ్బందికి	ప్రశ్నలు	వేసి
వ్యవహారాలు	జరగలేదని	నిర్ధారణ
పరచిన	అంతర్గత	తనిఖీ
నిర్ణయించాలి	కార్యక్రమంలో	అసంగిగ్ధత
తనిఖీ	చేయవలసిన	విధానం
విషయంల	పూర్తి	అవుతున్నాయా
ఆడిటరు	సూచనలు	ఇవ్వనవసరం
కాల	హరణం	ఉండవు
ఆడిట్	నిర్వహణలో	లోపాలున్వని
నిర్వహణలో	లోపాలున్వని	అశ్రద్ధతో
అశ్రద్ధతో	జరిగిందని	అపవాదు
వ్యక్తిగత	ఆలోచనకు	తావుండదు
తయారు	చేయడం	అనవసరం
చట్టంలోని	నిబంధనలను	పాటించకపోవడం
అపహరణ	మొదలైనవి	జరిగినప్పుడు
సంస్థ	సిబ్బందిని	విసిగించకూడదు
చేసిన	పని	తనిఖీ
పని	తనిఖీ	చేయడానికి
అనుమానాలు	తలెత్తినప్పుడు	వివరాలు
చేసిన	తరుగుదల	వివరాలు
ఇచ్చిన	ప్రశ్నావళి	ఆడిట్
క్లయింటుతో	వివదాలకు	తలపడే
అవకాశాలున్న	ఖాతాలలో	మోసాలు
ఖాతాలలో	మోసాలు	జరిగినపుడు
మోసాలు	జరిగినపుడు	కాగితాలను
పరిశీలించేటప్పుడు	వోచర్లు	తనిఖీ
వోచర్లు	తనిఖీ	చేసే
తనిఖీ	చేసే	ఆడిటరు
వస్తున్న	సంఘర్షణలు	శాంతి
చేసే	బదులు	రాజ్యాంగేతర
ప్రభుత్వాలపై	ఒత్తిడులు	తెస్తున్నారు
శాసన	సభలకు	నచ్చచెప్పాలి
ప్రభుత్వంపై	ఒత్తిడి	తీసుకురావాలి
గందరగోళం	సృష్టించి	ఓటరు
అభిప్రాయం	వక్తం	చేయకుండా
సమస్యలు	పరిష్కారం	కాలేదు
రాష్ట్రంలో	కులాలు	విజృభించి
కులాలు	విజృభించి	సాంఘీక
జీవనంలో	భీభత్సాన్ని	సృష్టిస్తున్నాయి
కుల	ప్రాతిపదికపై	నియమితులైతే
ప్రాతిపదికపై	నియమితులైతే	ప్రతిభకు
నియమితులైతే	ప్రతిభకు	స్వస్తి
ప్రతిభకు	స్వస్తి	చెప్పవలసిందే
రాజకీయ	ఒత్తిళ్ళకే	లొంగాలన్నమాట
వెనుకబడిన	వర్గాల	ప్రాతిపదికపై
ప్రాతిపదికపై	ఉద్యోగాలలోకి	వచ్చినవారు
వర్గానికి	ప్రాతినిధ్యం	వహిస్తున్నట్లు
శాతం	విషయఢం	రాదు
గీటు	రాళ్ళు	కాకుండా
రాళ్ళు	కాకుండా	కుల
కాకుండా	కుల	ప్రాతిపదికపై
ప్రాతిపదికపై	వ్యవహారాలు	సాగించరాదు
ప్రమోషన్లు	ద్వేషాలు	పెరిగిపోతాయి
నాయకులు	గుత్తాధిపత్యం	వహించరాదు
ఘోరావులు	క్రమబద్ధం	చేశారు
వ్యక్తిని	లొంగదీసే	పద్ధతే
విరుద్ధ	చర్యలను	ప్రోత్సహించాయన్నారు
శాంతి	భద్రతలు	దిగజారటానికీ
ఆస్తికీ	భద్రత	లేకుండా
పోవటానికీ	పోలీసు	విధానమే
పోలీసు	విధానమే	కారణమన్నారు
కార్మికమంత్రి	అనుమతి	లేకుండా
విషయాలలో	జోక్యం	చేసుకోవద్దని
రాష్ట్ర	ప్రభుత్వాన్ని	మందలిస్తూ
ప్రభుత్వాన్ని	మందలిస్తూ	కలకత్తా
మందలిస్తూ	కలకత్తా	హైకోర్టు
కాపాడేటప్పుడు	పోలీసు	విమర్శలకు
పోలీసు	విమర్శలకు	గురయ్యారనీ
పోలీసు	ఇబ్బందులకు	గురయ్యారు
ప్రజాందోళనలకు	ప్రాధాన్యత	ఇవ్వటంతో
పోలీసు	ఇబ్బందికి	గురయ్యారు
విద్యార్ధులలో	గౌరవం	లేకపోవటం
హైకోర్టుకు	వచ్చే	కేసులలో
వర్గాలు	వ్యవహరించడాన్ని	ప్రశ్నిస్తూ
లేనందున	చట్టాల	ఉల్లంఘనే
నియమాలు	పెట్టడం	అనవసరం
మంత్రులే	ఉన్నట్లు	ఆరోపణలు
ఆరోపణలో	నాటి	ముఖ్యమంత్రి
మానభంగ	ఆరోపణలు	చేయించాడు
మంత్రి	రాజీనామా	చేయవలసి
నైతిక	ప్రమాణాలు	లేవు
ఉన్నత	పదవుల్లో	చిత్తశుద్ధిలేని
పోలీసు	హింసను	ప్రోత్సహిస్తున్నారన్నారు
పోలీసు	వ్యవస్థ	వ్యాపిస్తున్నదన్నారు
ఒకనాడు	కూలి	పోతుందని
కూలి	పోతుందని	రుస్తుంజీ
బెదిరించే	రాజకీయవాదుల	చేతుల్లో
చేతుల్లో	పోలీసు	కీలుబొమ్మలయ్యారు
అద్దెలు	వసూళ్ళు	చేయమనీ
నిర్బందంలో	అట్టిపెట్టి	ఫోను
పోలీసులు	జోక్యం	చేసుకోటం
సార్లు	బదిలీ	అయ్యారు
గ్రామాలకు	ఆధిపత్యం	వహిస్తున్నాడు
అమ్మాయికి	పెళ్ళి	కాదు
నీరు	తోడుకోటానికి	వీలు
ప్రతిపక్షాలకు	వాస్తవాలను	బయటపెడతారు
మంత్రులుల	ఇళ్ళల్లో	దాక్కుంటారు
బాధలకు	గురి	కావలసిందే
వాడుకోటం	ప్రమాదకరమని	రాజకీయ
తేడాను	చూసిన	వ్యక్తి
సమాజంలో	ఉన్న	దోషాలను
కుటుంబాల	ఆధిపత్యం	పోయింది
విద్యార్థుల	సూచనలు	విననప్పుడూ
ఉపాధ్యాయులను	కొట్టిన	సందర్భాలు
వాటన్నిటిపట్ల	గౌరవం	క్షీణించింది
రాజ్యానికీ	సంబంధం	లేదనీ
సెక్యులరిజం	పుట్ల	దురభిప్రాయాం
వ్యవస్థలో	మార్పు	రాలేదు
పేర్కొన్న	పోలీసు	అణచివేత
వుడ్బర్న్	పోలీసును	నిరంకుశమనీ
చిత్తశుద్ధి	లేని	వ్యవస్థ
పద్ధతులను	విడనాడాలని	ప్రజలలో
పోలీసులంటే	ప్రజలకు	భయం
ప్రజలకు	భయం	ఉండటం
శీలాన్ని	శంకించే	రీతిలో
శంకించే	రీతిలో	విచారణ
రీతిలో	విచారణ	జరపటం
నేరాలను	కనుగొనే	శక్తిలేక
కనుగొనే	శక్తిలేక	పోలీసు
పోలీసు	అధికారులు	బెదిరింపులూ
విచారణ	విఫలమైనప్పుడు	దోషాలను
తప్పుడు	కేసని	చెప్పించటం
బేడీలు	వేసే	విషయంలో
వేసే	విషయంలో	పరిమితులను
విచారణలో	పోలీసును	తప్పించుకోవాలనుకోటం
పోలీసును	తప్పించుకోవాలనుకోటం	సహజం
మెరుగుపరచటానికి	కృషి	చేయలేదు
పోలీసులకు	అర్హతలు	చూడకుండా
విపరీతాధికారాలు	కట్టబెట్టటంతో	దుర్వినియోగం
దుర్వినియోగం	జరుగుతున్నట్లు	కమీషన్
అంతస్థులో	లోపం	ఉన్నా
శిక్షణ	ఇవ్వకుండా	పోలీసు
ఉద్యోగాలకు	వెళ్ళమన	లేకపోతున్నామని
వెళ్ళమన	లేకపోతున్నామని	ఉపాధ్యాయులు
కూడినవైనా	అమలు	జరగక
ప్రజలకూ	సత్సంబంధాలు	పెంపొందలేదని
సత్సంబంధాలు	పెంపొందలేదని	జవహర్లాల్
పెంపొందలేదని	జవహర్లాల్	నెహ్రూ
ప్రజలను	అణచివేయటం	ఉద్యమకాలంలో
ప్రజలతో	సంఘర్షణకు	దిగవల్సి
ప్రజలను	చిత్రహింసలు	పెట్టి
చిత్రహింసలు	పెట్టి	ప్రజల
పెట్టి	ప్రజల	ఆగ్రహానికీ
ద్వేషానికీ	గురి	అయ్యారు
పోలీసును	ద్వేషించిన	ప్రజలు
సంక్రమింప	చేసుకోటాన్ని	గమనించారు
పోలీసు	అత్యాచారాలను	సహించటానికి
అత్యాచారాలను	సహించటానికి	ప్రజలు
నాయకులు	క్రమశిక్షణారాహిత్యతు	ప్రోత్సహించారు
పోలీసుకు	సహకరించని	ప్రజలతో
సహకరించని	ప్రజలతో	వ్యవహరించవలసి
వ్యక్తి	స్వయంపోషకుడు	కాదు
పొందటానికి	ఇతరుల	సహాయ
ఉండేదనే	చారిత్రక	విచారణ
సాంప్రదాయక	పద్ధతిని	విడనాడి
ఫలితాలను	నిర్లక్ష్యం	చేసింది
శాస్త్రానికి	అనుక్షణం	జటిలమవుతున్న
అనుక్షణం	జటిలమవుతున్న	మానవ
జటిలమవుతున్న	మానవ	జీవితానికి
ప్రభుత్వం	లేనిదే	రాజ్యం
లేనిదే	రాజ్యం	ఉనికి
ఉనికి	సాధ్యం	కాదు
సహేతుక	నిర్బంధాలను	విధిస్తుంది
జోక్యము	చేసుకోకపోయినా	అరాచకానికి
సరళిలో	మార్పులు	రావడం
పోపులు	విధించిన	సంకెళ్ళను
మతాన్ని	వేరు	చేసినాడు
ఉద్యమానికి	దారి	తీసింది
వైరుధ్యాన్ని	తీవ్రతరం	చేసింది
కంటికి	కనపడని	శత్రువుల
నిత్యం	యుద్ధం	చేస్తున్నారు
యుద్ధం	అనగానే	ఆయుధాలు
కంటికి	కనపడని	శత్రువులు
కంటికి	కనపడని	సూక్ష్మజీవులే
శరీరాలు	నాశనం	అవుతాయి
నిత్య	యుద్ధం	చేస్తున్నారు
యుద్ధానికి	అంతం	లేదు
పూర్వం	యుద్ధాలలో	చనిపోయే
దేవతకు	కోపం	వచ్చినదనో
కంటికి	కనపడని	సూక్ష్మజీవులు
ఉన్నాయన్నమాట	మానవులకు	హాని
మానవులకు	హాని	చేసేవి
మానవులూ	విడిచిన	మలినం
చెట్లు	రాల్చిన	ఆకుల
సముద్రంలో	చచ్చిన	చేపలన్నీ
మానవులకు	హాని	చేస్తున్నాయి
నిత్య	యుద్ధం	జరుగుతూ
చర్మం	కన్నం	పడవచ్చును
కనపడని	శరీర	రక్షకులు
కంటికి	కనపడని	ఎర్రరక్తకణాలు
రక్షకులకు	బలం	తగ్గిన
బలం	తగ్గిన	అవకాశం
శరీరపు	కోటను	ముట్టడించడానికి
రక్షకులు	చావుకు	సిద్ధపడి
చావుకు	సిద్ధపడి	శత్రువులను
కోటకు	అపాయం	తెచ్చేది
శత్రువుల	చేతిలో	చనిపోవాలి
ఆజ్ఞ	లేనిదే	శరీరంలోని
అంగాలకు	కదలిక	ఉండదు
నివాస	యోగ్యమో	కాదో
యోగ్యమో	కాదో	వాసన
శరీరం	కోటలోనికి	ప్రవేశించగలుగుతున్నారు
ప్రవేశించే	శత్రువులు	కడుపులోను
ప్రవేశించే	శత్రువులు	గుండెలోను
గుండెలోను	దాడి	చేస్తారు
వీలు	దొరికితే	చర్మం
దుమ్ములో	దూరి	కనిపెట్టుకుని
పెన్సిలు	చెక్కుతూ	చాకుతో
కన్నం	పడిందన్నమా	ట.
కోటను	ముట్టడించడానికి	శత్రువులకు
ముట్టడించడానికి	శత్రువులకు	అవకాశం
శత్రువులకు	అవకాశం	దొరికింది
చూసుకుని	కొద్దిమంది	శత్రువులు
బ్లేడుతో	పెన్సిలు	చెక్కుతూ
కొంతమంది	శత్రువులు	కాచుకుని
సంగతి	సోముకు	తెలియక
కోసుకున్న	వేలుని	ఒకసారి
చూస్తున్న	శత్రువులు	ఒక్కసారి
శరీరం	కోటను	ముట్టడించారు
యుద్ధం	చెయ్యడం	మొదలు
యుద్ధం	చేస్తే	మంచిదీ
సగము	కనబడుతున్న	తిరగలిరాళ్లలా
కనబడుతున్న	తిరగలిరాళ్లలా	పళ్ల
గళ్ల	ఉత్తరీయం	చిరిగిపోయి
జరీ	ఉత్తరీయం	తడిసి
మంచుకి	నెత్తురు	ప్రవహించడం
నెత్తురు	ప్రవహించడం	మానేసిందల్లే
మొగము	జంతువును	చంపాడు
దేశంలో	పెంచినదీ	అబద్ధమే
మృగానికి	దుస్తులు	వేసి
జంతువును	దగ్ధం	చేయగల
దగ్ధం	చేయగల	పిస్తోళ్లు
ఇనుప	గొలుసులు	తెప్పించి
గొలుసులు	తెప్పించి	జంతువుకి
హృదయంలో	స్పందన	లేదు
సూత్రాలకీ	సంబంధం	లేదల్లే
కళేబరముల	వంటిది	కాదు
లోకంలో	జంతువు	కాదు
ఇనుప	బోను	కట్టారు
డాక్టర్లు	కట్టు	కట్టినా
గుర్రము	సకిలించినట్లే	ఉన్నది
